Col,20,40,60,80,100,120
199,ffffffffffffffff,ffffffffffffffff,fffffbffffffffff,fffffbffffffffff,fffffbffffffffff,fffffbfffeffffff
200,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,dfffffffffffffff,dfffffffffffffff
201,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffbffffffffffff,fffbefffffffffff,fffbefffffffffff
202,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
203,ffffffffffffffff,ffffffffffffffff,fffdffffffffffff,fffdffffffffffff,fffdffffffffffff,fffdffffffffffff
204,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,dfffffffffffffff,dfffffffffffffff
205,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
206,ffffffffffffffff,ffffffffffffffff,fffeffffffffffff,fffeffffffffffff,fffeffffffffffff,fffeffffffffffff
207,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
208,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
209,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffbfffff,ffffffffffbfffff,ffffffffffbfffff
210,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
211,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffffffffffffdff
212,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
213,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
214,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff
215,ffffffffffffffff,ffffffffffffffff,fffffffdffffffff,fffffffdffffff7f,fffffffdffffff7f,fffffffdffffff7f
216,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffffffbffffffff,fffffffbffffffff,fffffffbffffffff
217,ffffffffffffffff,ffffffffffffffff,ffffffffff7fffff,ffffffffff77ffff,ffffffffff77ffff,ffffffffff77ffff
218,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,ffffffffffffffff,fffdffffffffffff
219,ffffffffffffffff,fffffffffffffdff,fffffffffffffdff,ffffffbfffdffdff,ffffffbfffdffdff,ffffffbfffdffdff
